ID,NAME,X,Y
MOL5-1,MOL5-1,149105.01,174548.01
MOL5-2,MOL5-2,149105.02,174548.02
MOL5-3,MOL5-3,149105.03,174548.03
MOL5-4,MOL5-4,149105.04,174548.04
MOL5-5,MOL5-5,149105.05,174548.05
BNV8-1,BNV8-1,148293,171842
BNV8-2,BNV8-2,148293.01,171842.01
BNV8-3,BNV8-3,148293.02,171842.02
BNV8-4,BNV8-4,148293.03,171842.03
BNV8-5,BNV8-5,148293.04,171842.04
BNV4-1,BNV4-1,145207.01,167162.01
BNV4-2,BNV4-2,145207.02,167162.02
BNV4-3,BNV4-3,145207.03,167162.03
BNV4-4,BNV4-4,145207.04,167162.04
BNV4-5,BNV4-5,145207.05,167162.05
ZEN3-1,ZEN3-1,146792,167902
ZEN3-2,ZEN3-2,146792.01,167902.01
ZEN3-3,ZEN3-3,146792.02,167902.02
ZEN3-4,ZEN3-4,146792.03,167902.03
ZEN3-5,ZEN3-5,146792.04,167902.04
ZEN6-1,ZEN6-1,147587,169300
ZEN6-2,ZEN6-2,147587.01,169300.01
ZEN6-3,ZEN6-3,147587.02,169300.02
ZEN6-4,ZEN6-4,147587.03,169300.03
ZEN6-5,ZEN6-5,147587.04,169300.04
MAL1-1,MAL1-1,150590,168540
MAL1-2,MAL1-2,150590.01,168540.01
MAL1-3,MAL1-3,150590.02,168540.02
MAL1-4,MAL1-4,150590.03,168540.03
MAL1-5,MAL1-5,150590.04,168540.04
WOL4-1,WOL4-1,153935,167054
WOL4-2,WOL4-2,153935.01,167054.01
WOL4-3,WOL4-3,153935.02,167054.02
WOL4-4,WOL4-4,153935.03,167054.03
WOL4-5,WOL4-5,153935.04,167054.04
WOL5-1,WOL5-1,155407,171775
WOL5-2,WOL5-2,155407.01,171775.01
WOL5-3,WOL5-3,155407.02,171775.02
WOL5-4,WOL5-4,155407.03,171775.03
WOL5-5,WOL5-5,155407.04,171775.04
WOL7-1,WOL7-1,154967.01,170933.01
WOL7-2,WOL7-2,154967.02,170933.02
WOL7-3,WOL7-3,154967.03,170933.03
WOL7-4,WOL7-4,154967.04,170933.04
WOL7-5,WOL7-5,154967.05,170933.05
