ID,NAME,X,Y
P01,Avant-Port,151072,176640
P02,Ganshoren,145274,174254
P03,Roodebeek,154058,170789
P04,Hippocrate,155445,171681
P07,Ecluse Aa,145284,167643
P08,Paelinckx,151179,162225
P09,Kinsendael,148794,164019
P10,Semence,145125,171294
P11,Depot Communal,152065,166835
P12,Voets,155785,166185
P13,IRM,149239,165189
P20,Broekbeek,143824,169700
P14,Flagey,150257,168653
P15,SBGE,149230,170852
P16,Bemel,153396,168905
P21,Nord,153030,177330
U11,Ceria,145372,167306
U19,Paruck,148337,172057
U17,Molenbeek,149092,174352
C01,Watermaelbeek collecteur,153948,167129
U05,STR,155447,171747
U06,St. Gilles3,147328,169108
C11,Flagey,150595,168606
C02,ROD,155003,170833
U09,Pont de Luttre,146646,167985
C981,Belliard sortie bassin,150671,170232
C982,Belliard sortie bassin,150671,170232
C081,Belliard entrie bassin,150803,169789
C082,Belliard entrie bassin,150803,169789
